Title,Authors,Publisher,Published Date,Description,Page Count,Genre,Language,Preview Link
No More Bananas,Jeroen Kraaijenbrink,Effectual Strategy Press,2019-06-21,"“Feel better, get done more and become a nicer person” In this age of social media, fake news, individualism and information overload, the certainties we relied on in the past are gone. In our quest for assurance and support, the only seemingly dependable pillar left is other people. So we look to them. But they are unsettled too. And by looking to them, we create and perpetuate our own vicious stress-cycle. As a result, we lose our sensible selves. And we go bananas. But there is good news. If we look around us, there are people who withstand the collective lunacy and stay grounded. They do something that most of us have a hard time doing: they stay themselves. And the best news is that what they can do, you can do too. It doesn’t require any special talents or supernatural powers. It only requires doing. In this amiable, open and accessible book, Jeroen Kraaijenbrink takes you on his personal journey out of Bananaland. Drawing from cognitive psychology, martial arts, Saint Benedict, personal experience, and a wide range of other sources, the book offers a nine-step approach with some remarkably practical advice for keeping a cool head in the collective lunacy. “Free yourself from the collective lunacy and reclaim your calm and sensible self”",261,Self-Help,en,http://books.google.co.in/books?id=8z2aDwAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=1&source=gbs_api
Life Sucks. Get Used To It.,Mohamed Zubair,Notion Press,2019-09-04,"We live in strange times. Most of us hate our jobs, our parents are sending us friend requests on Facebook, and Memes are the only form of entertainment that truly make us happy. Life sucks; get used to it is India’s first Anti-Self-Help book! While regular self-help books want to look into your eyes, hold your hand and tell you that the universe is waiting to reward you in beautiful ways, Life sucks; get used to it is more like a spank on the bottom that encourages you to accept the harsh realities of life, with some tough love, of course. This BS-free and no-nonsense handbook provides you with actionable tools you can use to bring about a change in your life. Somewhere among the brutal truths, life lessons, humorous puns, profound sarcasm and profanity-laden thoughts, you might just end up finding the answer to living your best life and making your place in this big, bad world.",168,Self-Help,en,http://books.google.co.in/books?id=BxStDwAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=3&source=gbs_api
The No-Self Help Book,Kate Gustin,New Harbinger  Publications,2018-12-01,"It’s time to get over your self! Written by a clinical psychologist and student of Eastern philosophy, this handy little guide offers a radical solution to anyone struggling with self-doubt, self-esteem, and self-defeating thoughts: “no-self help.” By breaking free of your own self-limiting beliefs, you’ll discover your infinite potential. There is an insidious, global identity theft occurring that has robbed people of their very recognition of their true selves. The culprit—indeed the mastermind of this crisis—has committed the inside job of creating and promoting the idea that we are all a separate self, which is the chief source of our daily distress and dissatisfaction. No more than a narrative of personhood pieced together from disparate neural activations, the self we believe ourselves to be in our own minds—although quite capable of being affirming, inspiring, and constructive—often spews forth a distressing flow of worry and second-guessing, blaming and shaming, regret and guilt. This book offers an antidote to this epidemic of stolen identity, isolation, and self-deprecation: no-self (a concept known in Buddhist philosophy as anatta or anatman). The No-Self Help Book turns the idea of self-improvement on its head, arguing that the key to well-being lies not in the relentless pursuit of bettering one’s self but in the recognition of the self as a false identity born in the mind. Rather than identifying with a small, relative sense of self, this book encourages you to embrace a liberating alternative—an expansive awareness that is flexible and open to experiencing life as an ongoing and ever-changing process, without attachment to personal outcomes or storylines. To help you make this leap from self to no-self, the book provides forty bite-sized chapters full of clever and inspiring insights based in positive psychology and non-duality—a philosophy that asserts there is no real separation between any of us. So, if you’re tired of “self-help” and you’re ready to explore who you are beyond the self, let The No-Self Help Book be your guide.",277,Self-Help,en,http://books.google.co.in/books?id=zeFiDwAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=4&source=gbs_api
This Is How,Augusten Burroughs,St. Martin's Press,2012-05-08,"If you're fat and fail every diet, if you're thin but can't get thin enough, if you lose your job, if your child dies, if you are diagnosed with cancer, if you always end up with exactly the wrong kind of person, if you always end up alone, if you can't get over the past, if your parents are insane and ruining your life, if you really and truly wish you were dead, if you feel like it's your destiny to be a star, if you believe life has a grudge against you, if you don't want to have sex with your spouse and don't know why, if you feel so ashamed, if you're lost in life. If you have ever wondered, How am I aupposed to survive this? This is How.",240,Self-Help,en,http://books.google.co.in/books?id=IQxPf1_hNb4C&printsec=frontcover&dq=Self+help&hl=&cd=6&source=gbs_api
Chicken Soup for the Veteran's Soul,"Jack Canfield, Mark Victor Hansen",Simon and Schuster,2012-08-28,"Chicken Soup for the Veteran's Soul will inspire and touch any veterans and their families, and allow others to appreciate the freedom for which they fought.",262,Self-Help,en,http://books.google.co.in/books?id=IfHlWLIgTQUC&printsec=frontcover&dq=Self+help&hl=&cd=7&source=gbs_api
The Self-Help Compulsion,Beth Blum,Columbia University Press,2020-01-28,"Samuel Beckett as a guru for business executives? James Joyce as a guide to living a good life? The notion of notoriously experimental authors sharing a shelf with self-help books might seem far-fetched, yet a hidden history of rivalry, influence, and imitation links these two worlds. In The Self-Help Compulsion, Beth Blum reveals the profound entanglement of modern literature and commercial advice from the late nineteenth century to the present day. Blum explores popular reading practices in which people turn to literature in search of practical advice alongside modern writers’ rebukes of such instrumental purposes. As literary authors positioned themselves in opposition to people like Samuel Smiles and Dale Carnegie, readers turned to self-help for the promises of mobility, agency, and practical use that serious literature was reluctant to supply. Blum unearths a series of unlikely cases of the love-hate relationship between serious fiction and commercial advice, from Gustave Flaubert’s mockery of early DIY culture to Dear Abby’s cutting diagnoses of Nathanael West and from Virginia Woolf’s ambivalent polemics against self-improvement to the ways that contemporary global authors such as Mohsin Hamid and Tash Aw explicitly draw on the self-help genre. She also traces the self-help industry’s tendency to popularize, quote, and adapt literary wisdom and considers what it might have to teach today’s university. Offering a new history of self-help’s origins, appeal, and cultural and literary import around the world, this book reveals that self-help’s most valuable secrets are not about getting rich or winning friends but about how and why people read.",507,Literary Criticism,en,http://books.google.co.in/books?id=8dGXDwAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=8&source=gbs_api
Atomic Habits (Tamil),James Clear,Manjul Publishing,,"நீங்கள் உங்கள் வாழ்க்கையை மாற்ற விரும்பினால், நீங்கள் பிரம்மாண்டமாக சிந்திக்க வேண்டும் என்று மக்கள் நினைக்கின்றனர். ஆனால், பழக்கங்களைப் பற்றி விரிவாக ஆய்வு செய்து அதில் உலகப் புகழ்பெற்ற நிபுணர்களில் ஒருவராகத் திகழுகின்ற ஜேம்ஸ் கிளியர் அதற்கு வேறொரு வழியைக் கண்டுபிடித்துள்ளார். தினமும் காலையில் ஐந்து நிமிடங்கள் முன்னதாகவே எழுந்திருத்தல், ஒரு பதினைந்து நிமிடங்கள் மெதுவோட்டத்தில் ஈடுபடுதல், கூடுதலாக ஒரு பக்கம் படித்தல் போன்ற நூற்றுக்கணக்கான சிறிய தீர்மானங்களின் கூட்டு விளைவிலிருந்துதான் உண்மையான மாற்றம் வருகிறது என்று அவர் கூறுகிறார்.<br>இந்தக் கடுகளவு மாற்றங்கள் எப்படி உங்கள் வாழ்க்கையைப் பெரிதும் மாற்றக்கூடிய விளைவுகளாக உருவெடுக்கின்றன என்பதை ஜேம்ஸ் இப்புத்தகத்தில் தெளிவாக வெளிப்படுத்துகிறார். அதற்கு அறிவியற்பூர்வமான விளக்கங்களையும் அவர் கொடுக்கிறார். ஒலிம்பிக்கில் தங்கப் பதக்கம் வென்றவர்கள், முன்னணி நிறுவனத் தலைவர்கள், புகழ்பெற்ற அறிவியலறிஞர்கள் ஆகியோரைப் பற்றிய உத்வேகமூட்டும் கதைகளைப் பயன்படுத்தி அவர் தன்னுடைய கோட்பாடுகளை விளக்கும் விதம் சுவாரசியமூட்டுவதாக இருக்கிறது.<br>இச்சிறு மாற்றங்கள் உங்கள் தொழில்வாழ்க்கையின்மீதும் உங்கள் உறவுகளின்மீதும் உங்கள் தனிப்பட்ட வாழ்வின்மீதும் அளப்பரிய தாக்கம் ஏற்படுத்தி அவற்றைப் பரிபூரணமாக மாற்றும் என்பது உறுதி.",328,Self-Help,ta,http://books.google.co.in/books?id=WmqyDwAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=10&source=gbs_api
How To Win Friends And Influence People,Dale Carnegie,DigiCat,2022-05-17,"""How to Win Friends and Influence People"" is one of the first best-selling self-help books ever published. It can enable you to make friends quickly and easily, help you to win people to your way of thinking, increase your influence, your prestige, your ability to get things done, as well as enable you to win new clients, new customers._x000D_ Twelve Things This Book Will Do For You:_x000D_ Get you out of a mental rut, give you new thoughts, new visions, new ambitions._x000D_ Enable you to make friends quickly and easily._x000D_ Increase your popularity._x000D_ Help you to win people to your way of thinking._x000D_ Increase your influence, your prestige, your ability to get things done._x000D_ Enable you to win new clients, new customers._x000D_ Increase your earning power._x000D_ Make you a better salesman, a better executive._x000D_ Help you to handle complaints, avoid arguments, keep your human contacts smooth and pleasant._x000D_ Make you a better speaker, a more entertaining conversationalist._x000D_ Make the principles of psychology easy for you to apply in your daily contacts._x000D_ Help you to arouse enthusiasm among your associates._x000D_ Dale Carnegie (1888-1955) was an American writer and lecturer and the developer of famous courses in self-improvement, salesmanship, corporate training, public speaking, and interpersonal skills. Born into poverty on a farm in Missouri, he was the author of How to Win Friends and Influence People (1936), a massive bestseller that remains popular today._x000D_",260,Self-Help,en,http://books.google.co.in/books?id=u_dyEAAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=13&source=gbs_api
How to Help Yourself With Self-Help,Martin Meadows,Meadows Publishing,2019-06-12,"Are Self-Help Books Good for Anything? Have you ever bought a self-help book, read it cover to cover, only to find that nothing changed for you? How many hours have you wasted this way, expecting to improve your life by simply being inspired by something you read? The hard truth is that it’s easy to read self-help, but difficult to implement it in real life. First you need to figure out what exactly to read, and then you need to know what exactly to do with the advice you find inside. The world of self-help has a lot of traps, and throughout my years as a voracious reader, I’ve fallen into probably all of them. Now, as both a reader and an author of self-help books, I’d like to share with you some advice on how to use self-help books in a way that will actually help you achieve real-world results. Here are some of the topics I cover in my short guide How to Help Yourself With Self-Help: - The 5 most common pitfalls of self-help and how to avoid them (you’ve probably fallen victim to most of them). - Tips on how to identify what specific area of your life you should target first in order to benefit the most from reading self-help. - What confirmation bias is, why it’s dangerous, and how to escape it to stay flexible and enjoy consistent personal growth. - How to interpret the advice you get from a book and tailor it to your life circumstances (cookie-cutter approaches don’t work). - Why it’s sometimes better to skip self-help books and what to read instead to help you achieve your goals and become a better person. Don’t let another self-help title become just another book on your shelf. Learn how to read in a more strategic way and, more importantly, act on the advice you get. This short guide can be your first step toward the new you.",40,Self-Help,en,http://books.google.co.in/books?id=XfGcDwAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=14&source=gbs_api
Self-Compassion,Kristin Neff,Hachette UK,2011-07-07,"Kristin Neff PhD, is a professor in human development whose 10 years' of research forms the basis of her timely and highly readable book. Self Compassion offers a powerful solution for combating the current malaise of depression, anxiety and self criticism that comes with living in a pressured and competitive culture. Through tried and tested exercises and audio downloads, readers learn the 3 core components that will help replace negative and destructive measures of self worth and success with a kinder and non judgemental approach in order to bring about profound life change and deeper happiness. Self Compassion recognises that we all have weaknesses and limitations, but in accepting this we can discover new ways to achieve improved self confidence, contentment and reach our highest potential. Simply, easily and compassionately. Kristin Neff's expert and practical advice offers a completely new set of personal development tools that will benefit everyone. 'A portable friend to all readers ... who need to learn that the Golden Rule works only if it's reversible: We must learn to treat ourselves as well as we wish to treat others.' Gloria Steinem 'A beautiful book that helps us all see the way to cure the world - one person at a time - starting with yourself. Read it and start the journey.' Rosie O'Donnell",320,Self-Help,en,http://books.google.co.in/books?id=PDAEzLL9mscC&printsec=frontcover&dq=Self+help&hl=&cd=15&source=gbs_api
Unposted Letter (English),Mahatria Ra,Manjul Publishing,,"‘Unposted Letters’ by Mahtria Ra is one of those books that aims to transcend all religions and castes, and touch the core of the readers in a profound way irrespective of their social position, status and the likes. ‘Unposted Letters’ is a spiritual and inspirational book that urges the readers to find happiness in every small things and feel the presence of God Almighty everywhere. By illustrating the simple with the powerful, this is a book that deals with knowledge and enlightenment and talks about Life as it is, about how it should be led that is bereft of any jealousy and wrath. Published by Manjul Publishing House, this book is available in hardcover.",220,Self-Help,en,http://books.google.co.in/books?id=aJXUDwAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=16&source=gbs_api
What I Know for Sure,Oprah Winfrey,Pan Macmillan,2014-09-11,"Candid, moving, exhilarating, uplifting, and frequently humorous, the words Oprah shares in What I Know For Sure shimmer with the sort of truth that readers will turn to again and again. Oprah Winfrey is a creative force, student of the human heart and soul, and champion of living the life you want. Over the years, she has made history with a legendary talk show (the highest-rated program of its kind), launched her own television network, become the USA's only African-American billionaire, and been awarded both an honorary degree by Harvard University and the Presidential Medal of Freedom. From all her experiences, she has gleaned life lessons – which, for fourteen years, she's shared in O, The Oprah Magazine's widely popular 'What I Know For Sure' column, a monthly source of inspiration and revelation. Now, for the first time, these thoughtful gems have been revised, updated, and collected in What I Know For Sure, packed with insight and revelation from Oprah Winfrey. Organized by theme – joy, resilience, connection, gratitude, possibility, awe, clarity, and power – these essays offer a rare, powerful and intimate glimpse into the heart and mind of one of the world's most extraordinary women, while providing readers a guide to becoming their best selves.",178,Self-Help,en,http://books.google.co.in/books?id=il_nAwAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=17&source=gbs_api
Building a Second Brain,Tiago Forte,Simon and Schuster,2022-06-14,"""Building a second brain is getting things done for the digital age. It's a ... productivity method for consuming, synthesizing, and remembering the vast amount of information we take in, allowing us to become more effective and creative and harness the unprecedented amount of technology we have at our disposal""--",272,Business & Economics,en,http://books.google.co.in/books?id=WTpwEAAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=18&source=gbs_api
The Book You Were Born to Write,Kelly Notaras,"Hay House, Inc",2020-09-15,"A guide to writing a full-length transformational nonfiction book, from an editor with two decades' experience working in publishing. ""I know I have a book in me."" ""I've always wanted to be an author."" ""People always ask me when I'm going to write my book."" ""I have a story to tell, but I never seem to make time to write."" Are you a thought leader, healer, or change-agent stuck at the starting line of book publication? Life coach and publishing industry insider Kelly Notaras offers a clear, step-by-step path for turning your transformational idea or story into a finished book as quickly as possible. With humor, encouragement, and common sense, she demystifies the publishing process so you can get started, keep writing, and successfully get your wisdom out into the world. Notaras guides you through: Getting clear on your motivation for writing a book, Crafting a powerful, compelling hook and strong internal book structure, Overcoming resistance and writer's block, and Getting your finished manuscript onto the printed page, whether through traditional publishing or self-publishing. Publishing a book has never been as simple, accessible, and affordable as it is today, and in our tumultuous world, readers need your healing voice. Be brave, be bold, and take the steps you need to share your message with those who need to hear it most.",298,Business & Economics,en,http://books.google.co.in/books?id=HWL6DwAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=22&source=gbs_api
You Can Have an Amazing Memory,Dominic O'Brien,Duncan Baird Publishers,2016-02-02,"Originally published: London: Watkiins Publishing, c2011.",122,Self-Help,en,http://books.google.co.in/books?id=2AxdiKI3GEwC&printsec=frontcover&dq=Self+help&hl=&cd=23&source=gbs_api
Your Sacred Self,Wayne W. Dyer,Harper Collins,2009-10-13,"The bestselling author of Your Erroneous Zones, Pulling Your Own Strings, and Wisdom of the Ages combines psychological insights and guidelines for achieving spiritual fulfillment to present a three-step program designed to help readers look inside themselves to find a new sense of self-awareness and spiritual joy. Developing the sacred self, Wayne Dyer explains, brings an understanding of our place in the world and a sense of satisfaction in ourselves and others. In Your Sacred Self, Dyer offers a program that helps listeners establish a spiritually-oriented, rather than an ego-oriented, approach to life. Step by step, Dyer shows us how to progress from emotional awareness to psychological insight to spiritual alternatives in order to change our experience of life from the need to acquire to a sense of abundance; from a sense of one's self as sinful and inferior to a sense of one's self as divine; from a need to achieve and acquire to an awareness that detachment and letting go bring freedom. Your Sacred Self is an inspiring, hopeful, illuminating guide that can help everyone live a happier, richer, more meaningful life.",402,Self-Help,en,http://books.google.co.in/books?id=__igh164lOcC&printsec=frontcover&dq=Self+help&hl=&cd=26&source=gbs_api
Free Yourself From Anxiety,"Emma Fletcher, Martha Langley",Hachette UK,2009-01-09,"Anxiety disorders can rob you of independence, happiness and self-esteem. This book will enable you to free yourself from the crippling effects of anxiety and to go on to a happier and more fulfilled life. The authors describe simple self-help techniques and practical tips derived from years of helping people with anxiety problems. This book enables the reader to: assess what changes you need to make; create a personal recovery programme; set realistic goals and work towards them; change unhelpful ways of thinking; and, take back control of your life. The techniques can be used for all forms of anxiety: phobias (including Agoraphobia and Social Phobia), Obsessive Compulsive Disorder, Panic Attacks and General Anxiety Disorder. However bad your anxiety, and however long you've had it, you can recover. Using true life examples from anxiety sufferers, this book shows you just how you can do it.",227,Self-Help,en,http://books.google.co.in/books?id=VYWeBAAAQBAJ&printsec=frontcover&dq=Self+help&hl=&cd=32&source=gbs_api
Help Me!,Marianne Power,Grove Press,2019-01-15,"“Consistently entertaining . . . she writes with unflinching honesty . . . Bridget Jones meets Buddha in this plucky, heartwarming, comical debut memoir.” —Kirkus Reviews (starred review) For years journalist Marianne Power lined her bookshelves with dog-eared copies of definitive guides on how to live your best life, dipping in and out of self-help books when she needed them most. Then, one day, she woke up to find that the life she hoped for and the life she was living were worlds apart—and she set out to make some big changes. Marianne decided to finally find out if her elusive “perfect existence” —the one without debt, anxiety, or hangover Netflix marathons, the one where she healthily bounced around town and met the cashmere-sweater-wearing man of her dreams—really did lie in the pages of our best known and acclaimed self-help books. She vowed to test a book a month for one year, following its advice to the letter, taking what she hoped would be the surest path to a flawless new her. But as the months passed and Marianne’s reality was turned upside down, she found herself confronted with a different question: Self-help can change your life, but is it for the better? With humor, audacity, disarming candor and unassuming wisdom, in Help Me Marianne Power plumbs the trials and tests of being a modern woman in a “have it all” culture, and what it really means to be our very best selves. “Equal parts touching and hilarious, Power’s account of the year she spent following the tenets of self-help books will make you feel better about your own flawed life.” —People",327,Self-Help,en,http://books.google.co.in/books?id=6IqADwAAQBAJ&dq=Self+help&hl=&cd=37&source=gbs_api
New York to New You,Manoj Gupta,Storymirror Infotech Pvt Limited,2020-07-16,"An accomplished business leader, a trusted advisor, and frequent keynote speaker at various forums, Manoj Gupta has vast Intertiol experience in multiple domains. He is working in tech sector for over 25 years. His passion to innovative has helped to turn around several businesses across the world. His approach to coalesce technology with philosophy led him towards the path of discovering intricacies of human engineering. Exploring deep into the topic by going through many books, ancient scriptures, and their interpretation by scholars and philosophers - combined with research of over 10 years, he discovered the beautiful convergence of science and metaphysics. His fascition for human psychology and subtle difference between 'making a living' vs 'living a life', inspired him to write down his idea about 'New You', which later became a full-fledged book. His pragmatic approach to make things simple, has motivated many people to re-evaluate their lives. Manoj enjoys helping people and businesses to realize their true potential. He is currently working as Maging Director at Qualitest Group.",0,Fiction,en,http://books.google.co.in/books?id=afZX0AEACAAJ&dq=Self+help&hl=&cd=39&source=gbs_api
H. G. Wells: The Greatest Sci-Fi Collection - 15 Books in One Edition,H. G. Wells,Good Press,2023-11-28,"This carefully edited collection has been designed and formatted to the highest digital standards and adjusted for readability on all devices. Herbert George Wells (1866-1946), known as H. G. Wells, was a prolific English writer in many genres, including the novel, history, politics, and social commentary, and textbooks and rules for war games. His most notable science fiction works include The Time Machine, The Island of Doctor Moreau, The Invisible Man, and The War of the Worlds. Table of Contents: The Time Machine The War of The Worlds The Island of Doctor Moreau The Invisible Man The First Men in the Moon When the Sleeper Wakes The Shape of Things to Come The Food of the Gods In the Days of the Comet A Modern Utopia The War in the Air The Chronic Argonauts In the Abyss The Star The Crystal Egg",2718,Fiction,en,http://books.google.co.in/books?id=BRHmEAAAQBAJ&printsec=frontcover&dq=Sci-fi&hl=&cd=1&source=gbs_api
Dawn Exodus,Kevin Partner,Scribbleit Limited,,"""If Foundation and Star Wars had a love child."" ""This is classic science fiction, a galactic empire space opera!"" For centuries they served. In gratitude we freed them. With vengeance they betrayed us. When she's kidnapped by the Blessed Engineers, Arla discovers that she's been living a lie. She wasn't a farmer's daughter, but merely cargo transported in the carved out heart of an asteroid: the Arkship Dawn on a thousand year voyage to a new home. And someone got there first. One act of rebellion leads to the fate of her people resting on her young shoulders. And, perhaps the future of humanity itself. Because Dawn harbors a secret. It is the key. Destiny awaits. Dawn Exodus is the first book in a now complete six book series of space opera in the classic vein of Asimov, Bradbury and Bear. If you like clean, fast paced, intelligent sci-fi that's full of ideas, memorable characters and examines what it truly is to be human, then the Robot Empire series is for you. ""Reminiscent of some of my favorite old time SciFi authors"" - Mark ""Inspired world building"" - Belle ""A brilliant read with an epic and unexpected ending"" - Bethany For readers who enjoy: Isaac Asimov's Foundation Star Wars Star Trek Battlestar Galactica The Orville The Expanse",154,Fiction,en,http://books.google.co.in/books?id=CgQVEAAAQBAJ&printsec=frontcover&dq=Sci-fi&hl=&cd=2&source=gbs_api
Project Hail Mary,Andy Weir,Ballantine Books,2021-05-04,"#1 NEW YORK TIMES BESTSELLER • From the author of The Martian, a lone astronaut must save the earth from disaster in this “propulsive” (Entertainment Weekly), cinematic thriller full of suspense, humor, and fascinating science—in development as a major motion picture starring Ryan Gosling. HUGO AWARD FINALIST • ONE OF THE YEAR’S BEST BOOKS: Bill Gates, GatesNotes, New York Public Library, Parade, Newsweek, Polygon, Shelf Awareness, She Reads, Kirkus Reviews, Library Journal • “An epic story of redemption, discovery and cool speculative sci-fi.”—USA Today “If you loved The Martian, you’ll go crazy for Weir’s latest.”—The Washington Post Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish. Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company. His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species. And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone. Or does he? An irresistible interstellar adventure as only Andy Weir could deliver, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian—while taking us to places it never dreamed of going.",497,Fiction,en,http://books.google.co.in/books?id=-Ff2DwAAQBAJ&dq=Sci-fi&hl=&cd=3&source=gbs_api
Not Done Yet,Anthony W. Eichenlaub,Oak Leaf Books LLC,2023-11-14,"You're never too old to change the future. A resident of a nursing home discovers something strange when he orchestrates his escape heist. A mother must decide what to do when four copies of her son return from the Duplication War. An elderly villain writes one last letter to her superhero daughter. Fourteen stories of justice, beauty, and innovation that prove you don't need to be young to be ambitious. Too old to make a difference? Step aside, kid. We're Not Done Yet.",177,Fiction,en,http://books.google.co.in/books?id=lVTcEAAAQBAJ&printsec=frontcover&dq=Sci-fi&hl=&cd=5&source=gbs_api
Tales From Another Dimension,Robbie Sheerin,Silly Lilly Publishing,2021-12-03,"How will HG Wells react when he awakes 200 years in the future on a strange planet, faced with a terrible truth? Two young brothers make a frightening discovery about the neighbors. Do robots secretly want to rule us all? A scientist goes to extremes to change the future of mankind. But is it possible to change our destiny? Tales from another dimension is a strange and fantastical collection of ten short stories. Robbie Sheerin is inspired by classic Sci-fi, invoking nightmarish twists and turns with each story. Travel to another dimension and meet strange characters, sometimes human, and at times not so human. They will make you question the solidity of the earth and mankind. Explore prejudice, fear, imagination, kindness, empathy, and human frailty. ""The Truth Comes in Storms is wonderfully evocative -and the twist caught me completely unawares. Sheerin is a writer to keep an eye on!""- Rob Yescombe. Writer of the movie ""Outside the Wire"" These stories are strong echoes of the classic science fiction of the 1950's, and bring back fond memories of the Twilight Zone.-Noel Chidwick. Founder and editor of the award winning sci-fi magazine Shoreline of Infinity ....Sheerin's Sci-if shorts engage the mind and senses with dread and wonder at the same time. What happens on the moon....stays on the moon, even it's from different planets.- ARZONO Publishing ""With a voice of clarity and surprise, Robbie Sheerin is well worth the quick and wondrous read each of his stories provides, the insight into our humanity (or inhumanity) they present, and the lasting impression they leave. Indulge and entertain yourself!"" - Jason J. Marchi, author of Venus Remembered with Ray Bradbury and the Barnes & Noble recognized bestseller The Legend of Hobbomock: The Sleeping Giant. Robbie Sheerin's insightful story ""The Protector"" is a chilling tale that underscores humanity's most troubling shortcomings. At its core, it reminds us that we must remain open-minded and compassionate toward those who are ""not like us"" or suffer the consequences..... ...""The Future You Imagine, Doctor, Is Not The Future Of The Future"" is inventive and imaginative. In my opinion, all tales about our future should be appropriately apocalyptic.They should shake the foundations of our hopes and dreams .....- Leith MacArthur, author of ""The Death of Harry Crow"", from The William Snow Series of thrillers.",108,Fiction,en,http://books.google.co.in/books?id=XlJQEAAAQBAJ&printsec=frontcover&dq=Sci-fi&hl=&cd=6&source=gbs_api
Lockdown Sci-Fi,"D. Kerhsaw, Ben Thomas, S. N. Graves",Lockdown,2020-04-16,Science Fiction adventure stories for LOCKDOWN.,248,Fiction,en,http://books.google.co.in/books?id=YBx8zQEACAAJ&dq=Sci-fi&hl=&cd=7&source=gbs_api
50 Short Science Fiction Tales,"Isaac Asimov, Groff Conklin",Simon and Schuster,1997-08,"Stories of 300 to 3,000 words from Asimov, Clarke, Heinlein, Kornbluth, Leiber, Sturgeon, et al. which have been selected to surprise, shock, and delight.",292,Fiction,en,http://books.google.co.in/books?id=1M0Y2RYqffIC&printsec=frontcover&dq=Sci-fi&hl=&cd=8&source=gbs_api
Girl in Landscape,Jonathan Lethem,Faber & Faber,2014-10-09,"Girl in Landscape offers a genre-bending, mind-expanding tale of a new frontier. Jonathan Lethem's novel is a science-fiction Western that evokes both the brooding tragedy of John Ford's The Searchers and the sexual precocity of Nabokov's Lolita. Lethem's heroine is 14-year-old Pella Marsh, whose mother dies just as her family flees a post-apocalyptic Brooklyn for the frontier of a recently discovered planet. Hating her ineffectual father, and troubled by a powerful attraction to the virile but dangerous loner who holds sway over the little colony, Pella embarks on a course of discovery that will have tragic and irrevocable consequences - both for the humans in her community, and also for the mysterious and passive indigenous inhabitants, The Archbuilders.",212,Fiction,en,http://books.google.co.in/books?id=a4kQBQAAQBAJ&printsec=frontcover&dq=Sci-fi&hl=&cd=9&source=gbs_api
A New God,Menilik Henry Dyer,,2024-03-05,"Humanity is divided between those who have chosen a simulated existence and those seeking life among the stars in this far-future science-fiction adventure. The Beta Explorers have succeeded in their mission of terraforming planets to establish human colonies across the galaxy. But as the inhabitants of these new worlds come of age to govern themselves, their ambition plateaus and stagnates. Instead of continuing to pursue scientific advancement and space travel in the physical Betaverse, many prefer the simulated environment of the Metaverse, where they can live innumerable immortal lives, free from illness and harm. Separated from her fellow Betas, who individually transformed one world at a time, Angelique Komene cloned herself and produced hundreds of habitable planets. Through her clones, the Ange Angels, she has guided billions to create democratic societies. But when her people start embracing the Metaverse, one colony after another, the clones make a startling discovery: a virus code-designed to influence the humans under their care to reject science in reality-was uploaded into the Betas' simulated minds before their terraforming mission even began, presumably the work of the authoritarian government, which outlawed space exploration to keep humanity contained in the Metaverse. Now, it is up to Angelique and the Betas to implement an antivirus to purge the contagion and reclaim their autonomy from Earth once and for all. But what if the virus did not originate on Earth after all? It seems an alien civilization has been spreading its own colonies across the universe. And if humans do not return to their home planet, the aliens may destroy the entire race . . . The second volume of the hit science-fiction adventure series-originally released on Royal Road and perfect for fans of Bobiverse and Children of Time-now available on Kindle, Kindle Unlimited, and Audible!",0,Fiction,en,http://books.google.co.in/books?id=gxOf0AEACAAJ&dq=Sci-fi&hl=&cd=10&source=gbs_api
Doyle's Famous Sci-Fi Stories,Arthur Conan Doyle,ReadHowYouWant.com,2008-06-04,"Doyle's Famous Sci-Fi Stories is a collection of two unique science fiction tales that deal with the hair-raising experimentation. Professor Challenger, in When the World Screamed, has contrived a way to reach the centre of the Earth. Once there, he rouses a beast that wreaks havoc on the world. Professor von Baumgarten, in The Great Keinplatz Experiment, exchanges the spirits of a drunkard and an infamous student. This EasyRead Comfort Edition has been optimized for readers who do not need large type yet prefer a print that does not strain their eyes.",93,Fiction,en,http://books.google.co.in/books?id=s3bo8KrDaNYC&printsec=frontcover&dq=Sci-fi&hl=&cd=11&source=gbs_api
